(58.227.133.60:3310, 227.176.178.135:17712, 0) x 368
(199.56.202.0:41108, 166.249.202.60:48422, 0) x 7
(181.234.227.76:34378, 23.225.228.215:5374, 0) x 7
(107.117.246.51:42902, 72.218.105.84:41071, 0) x 7
(55.70.166.2:60567, 28.42.36.42:35597, 0) x 7
(67.170.234.75:13973, 116.198.237.66:18562, 0) x 7
(168.235.158.85:51724, 90.184.43.203:25725, 0) x 7
(237.131.235.148:37981, 245.234.122.9:63544, 0) x 7
(163.40.56.230:32352, 65.242.214.164:10360, 0) x 7
(162.182.156.146:27971, 183.107.138.145:59377, 0) x 7
(199.119.244.153:49371, 152.210.233.26:45093, 0) x 7
(233.95.36.38:21112, 154.86.248.1:64915, 0) x 7
(159.188.242.113:27982, 246.9.151.131:44502, 0) x 7
(192.3.247.43:55032, 175.145.207.224:57354, 0) x 7
(66.143.76.117:62366, 33.88.30.231:15824, 0) x 7
(9.188.154.137:44128, 87.114.203.58:31090, 0) x 7
(248.206.239.55:24869, 2.254.188.181:27046, 0) x 7
(201.240.162.176:9946, 11.85.248.217:6555, 0) x 6
(234.195.106.1:54472, 120.212.157.15:25264, 0) x 6
(133.117.78.32:26574, 38.246.139.57:11159, 0) x 6
(72.235.104.120:41348, 192.96.59.3:35684, 0) x 6
(218.152.66.172:15465, 108.233.226.197:60917, 0) x 6
(202.18.0.136:53572, 67.67.106.120:3419, 0) x 6
(149.211.207.216:19741, 110.91.61.1:37162, 0) x 6
(147.195.202.207:4626, 164.148.50.80:36161, 0) x 6
(169.91.109.28:27744, 156.90.48.235:30212, 0) x 6
(144.245.206.117:37831, 110.120.127.27:24544, 0) x 6
(192.23.134.228:24245, 176.3.38.196:11094, 0) x 6
(155.13.73.186:17840, 113.225.68.134:60060, 0) x 6
(238.144.13.112:27044, 177.19.207.232:8135, 0) x 6
(128.165.92.17:54357, 96.22.228.101:54893, 0) x 6
(147.121.8.145:47117, 189.93.65.11:31596, 0) x 6
(77.48.162.64:39418, 63.59.6.195:63257, 0) x 6
(234.45.169.177:60370, 224.75.88.248:21962, 0) x 6
(23.246.215.161:41020, 32.21.2.130:15806, 0) x 6
(60.176.43.109:48683, 173.128.8.213:16611, 0) x 6
(169.11.98.224:27095, 23.246.99.255:16861, 0) x 6
(53.236.21.224:19409, 77.125.229.25:9214, 0) x 6
(40.138.75.132:9464, 243.199.84.199:36876, 0) x 6
(57.147.34.124:45330, 46.56.212.60:65301, 0) x 6
(34.22.202.237:47422, 6.206.202.72:24509, 0) x 6
(25.185.222.122:187, 95.51.21.197:14794, 0) x 6
(97.179.226.155:6391, 83.31.85.83:50194, 0) x 6
(157.108.168.184:50518, 178.49.49.99:25736, 0) x 6
(244.183.111.187:57899, 158.103.111.83:49183, 0) x 6
(59.32.109.151:42740, 153.160.189.25:51963, 0) x 6
(216.27.195.238:9246, 241.217.56.153:52169, 0) x 6
(174.196.35.166:19603, 208.20.141.89:58363, 0) x 6
(219.52.53.3:29813, 188.207.12.160:6705, 0) x 6
(99.190.192.97:27714, 65.4.162.99:62999, 0) x 6
(6.196.120.144:27474, 180.235.38.146:55931, 0) x 6
(234.210.110.31:27488, 217.120.182.207:3236, 0) x 6
(145.177.21.49:8959, 6.46.199.89:27199, 0) x 6
(113.127.229.27:25514, 86.87.39.223:3258, 0) x 6
(241.90.14.41:56527, 181.147.97.152:13713, 0) x 6
(116.87.156.80:34830, 161.244.157.0:11979, 0) x 6
(160.250.186.239:49717, 246.164.230.26:53230, 0) x 6
(118.225.104.247:17997, 116.121.55.191:5624, 0) x 6
(107.31.86.76:36802, 157.204.183.200:64367, 0) x 6
(59.210.205.66:26386, 13.47.207.99:18178, 0) x 6
(117.208.229.221:32100, 91.195.243.224:54499, 0) x 6
(212.33.6.73:25532, 74.224.73.8:13275, 0) x 6
(71.85.65.51:4774, 214.157.251.123:23848, 0) x 6
(128.136.231.75:47257, 17.210.217.185:49184, 0) x 6
(122.131.202.196:19346, 116.249.159.207:48950, 0) x 6
(248.69.132.101:2549, 45.67.122.199:20125, 0) x 6
(40.59.98.125:23276, 46.228.36.106:8032, 0) x 6
(190.2.163.96:13934, 132.134.22.183:50481, 0) x 6
(225.200.53.66:64718, 126.164.210.41:58457, 0) x 6
(36.25.11.36:53757, 107.200.14.245:61675, 0) x 6
(208.30.211.7:39317, 10.241.91.253:64288, 0) x 6
(58.91.172.47:8493, 191.103.184.2:32800, 0) x 5
(3.191.195.103:21858, 210.53.152.151:56820, 0) x 5
(33.187.117.204:18656, 159.223.251.108:19453, 0) x 5
(236.160.154.214:14225, 134.100.139.210:16815, 0) x 5
(129.93.226.247:47864, 29.199.152.144:45444, 0) x 5
(163.23.191.68:10407, 144.228.105.204:29057, 0) x 5
(239.112.60.8:20651, 62.143.217.37:9196, 0) x 5
(1.47.14.26:11619, 98.59.67.14:31518, 0) x 5
(53.173.152.55:57832, 112.148.54.246:9250, 0) x 5
(147.53.207.67:566, 83.181.92.165:64945, 0) x 5
(172.99.244.130:48855, 114.122.39.245:50398, 0) x 5
(82.80.82.156:41507, 46.29.131.18:43011, 0) x 5
(101.67.169.69:65344, 163.74.132.159:51538, 0) x 5
(212.105.127.237:17523, 180.208.82.123:11666, 0) x 5
(249.2.200.86:61041, 197.7.160.232:2096, 0) x 5
(42.153.157.9:48781, 173.244.72.138:9588, 0) x 5
(165.155.7.59:49898, 210.69.77.139:49729, 0) x 5
(24.98.165.93:29893, 137.171.252.18:42610, 0) x 5
(156.129.208.62:44557, 210.5.237.255:60546, 0) x 5
(183.218.48.121:62837, 251.218.120.241:42463, 0) x 5
(74.114.115.220:15952, 101.60.240.166:25111, 0) x 5
(81.220.47.22:16099, 90.196.196.157:3859, 0) x 5
(14.92.9.22:4080, 58.254.245.145:3357, 0) x 5
(41.181.243.15:43952, 50.75.43.35:61524, 0) x 5
(246.21.74.156:52624, 136.252.1.228:53826, 0) x 5
(20.38.187.122:33353, 60.82.60.212:48297, 0) x 5
(233.228.191.73:14617, 32.119.6.37:41686, 0) x 5
(195.208.109.90:9260, 106.202.162.243:21806, 0) x 5
(2.104.86.4:27571, 22.192.163.246:31316, 0) x 5
(35.114.63.135:42958, 116.4.87.202:49040, 0) x 5
(237.172.112.168:27959, 86.224.128.15:4204, 0) x 5
(66.1.200.66:57729, 176.184.36.135:57085, 0) x 5
(169.141.65.176:10304, 245.5.155.176:64439, 0) x 5
(161.13.20.156:7716, 86.206.21.157:17630, 0) x 5
(108.23.108.68:7975, 26.221.149.188:49588, 0) x 5
(61.24.51.110:39705, 221.20.219.233:7596, 0) x 5
(12.42.29.42:9804, 13.230.117.203:3447, 0) x 5
(116.133.199.21:42175, 145.75.47.44:11155, 0) x 5
(238.179.102.121:23043, 4.114.53.20:21481, 0) x 5
(64.25.122.170:45058, 6.69.194.57:62825, 0) x 5
(135.18.31.19:57431, 76.233.76.23:43891, 0) x 5
(209.208.181.121:46344, 58.44.221.45:30569, 0) x 5
(157.106.27.124:33503, 61.66.142.92:37419, 0) x 5
(173.55.168.30:15894, 136.251.95.7:147, 0) x 5
(18.12.113.89:60252, 46.164.70.78:36355, 0) x 5
(194.10.25.163:5646, 161.152.56.47:37235, 0) x 5
(43.219.28.21:3452, 221.241.169.162:55314, 0) x 5
(57.44.46.207:11061, 242.90.216.15:44042, 0) x 5
(181.240.153.31:4924, 219.148.80.175:23523, 0) x 5
(122.53.185.121:35037, 59.118.19.71:12018, 0) x 5
(91.139.64.22:142, 12.154.195.49:19282, 0) x 5
(135.211.6.42:52588, 109.165.93.238:50661, 0) x 5
(149.162.167.15:17464, 207.122.126.28:37345, 0) x 5
(148.101.200.88:65154, 254.252.93.40:62799, 0) x 5
(154.206.177.133:12421, 120.59.45.13:36583, 0) x 5
(87.126.159.184:9651, 204.71.24.33:60821, 0) x 5
(27.127.213.133:21882, 70.106.50.248:62588, 0) x 5
(174.133.188.79:43653, 252.48.205.14:27705, 0) x 5
(82.189.42.248:10163, 77.69.40.108:34271, 0) x 5
(235.129.9.189:4767, 28.124.104.8:13505, 0) x 4
(52.242.72.216:58930, 242.37.107.34:20796, 0) x 4
(194.240.22.169:22164, 222.25.114.93:7896, 0) x 4
(171.71.247.26:36, 50.117.212.148:2172, 0) x 4
(68.179.80.35:45336, 121.200.123.180:34495, 0) x 4
(96.170.159.73:21242, 131.32.117.69:60228, 0) x 4
(102.150.206.127:27451, 225.248.219.67:9700, 0) x 4
(99.104.90.169:32523, 34.132.168.210:58467, 0) x 4
(179.226.236.114:61583, 100.102.182.97:61705, 0) x 4
(10.52.76.183:8322, 171.26.13.141:40098, 0) x 4
(90.48.216.171:44402, 168.1.34.89:38809, 0) x 4
(135.178.101.188:55997, 78.231.170.65:1606, 0) x 4
(129.28.131.140:62429, 250.88.80.99:52321, 0) x 4
(227.82.168.209:10980, 110.36.223.161:41733, 0) x 4
(98.211.167.239:6656, 204.238.70.178:34200, 0) x 4
(188.127.191.56:59319, 204.73.149.214:49525, 0) x 4
(251.142.211.46:21, 176.210.124.33:32095, 0) x 4
(191.249.200.72:20235, 205.61.134.151:55472, 0) x 4
(245.24.149.234:56290, 199.81.170.9:9283, 0) x 4
(117.36.139.145:11166, 253.145.89.141:10283, 0) x 4
(55.117.74.242:63843, 60.14.251.52:56847, 0) x 4
(186.87.74.27:11221, 251.226.78.0:65239, 0) x 4
(124.43.220.105:17537, 86.22.171.18:7104, 0) x 4
(45.149.12.255:50151, 142.96.232.85:41350, 0) x 4
(36.146.238.115:484, 114.216.51.132:32828, 0) x 4
(155.59.229.135:6635, 197.66.36.98:13834, 0) x 4
(165.254.209.183:31330, 32.179.140.189:50870, 0) x 4
(195.207.112.18:31839, 244.137.47.160:34230, 0) x 4
(246.229.172.195:64705, 101.163.159.96:16303, 0) x 4
(195.251.30.75:41597, 89.98.252.209:22619, 0) x 4
(250.73.187.168:34489, 95.119.46.177:19479, 0) x 4
(44.179.95.230:26416, 234.157.65.89:1912, 0) x 4
(131.95.28.68:20810, 150.137.189.53:55595, 0) x 4
(136.23.120.35:42337, 25.25.203.47:14417, 0) x 4
(41.235.101.18:28127, 177.77.240.114:11216, 0) x 4
(210.243.71.221:13816, 223.170.95.146:27109, 0) x 4
(145.156.168.44:15135, 245.141.71.24:41136, 0) x 4
(167.71.61.209:13936, 51.227.115.170:60603, 0) x 4
(179.19.80.240:59296, 61.201.30.94:62969, 0) x 4
(7.31.142.247:13868, 239.103.201.20:35633, 0) x 4
(41.142.136.97:56140, 197.85.118.55:52572, 0) x 4
(56.45.192.173:63957, 225.236.185.247:49497, 0) x 4
(111.46.101.57:56217, 99.207.219.0:10632, 0) x 4
(230.92.54.30:55522, 216.192.98.189:47136, 0) x 4
(160.249.245.254:4812, 237.235.121.94:55470, 0) x 4
(169.57.237.253:43074, 175.51.190.200:35864, 0) x 4
(48.172.114.254:18298, 155.110.167.44:38549, 0) x 4
(209.134.112.147:25931, 92.224.190.239:53795, 0) x 4
(250.201.62.149:54093, 197.78.122.67:14605, 0) x 4
(39.48.238.4:19776, 254.158.152.245:13684, 0) x 4
(113.187.151.56:47245, 112.21.142.183:830, 0) x 4
(94.2.38.72:51779, 115.11.243.87:64159, 0) x 4
(57.89.23.58:59004, 48.5.154.148:55066, 0) x 4
(90.54.237.153:9028, 160.213.78.31:36688, 0) x 4
(191.101.41.39:57366, 224.0.49.23:46526, 0) x 4
(93.54.125.69:7794, 59.138.147.155:1249, 0) x 4
(118.168.63.255:7669, 144.75.141.110:38100, 0) x 4
(181.81.188.245:14463, 62.10.204.170:64426, 0) x 4
(216.190.7.251:55959, 21.29.211.61:33176, 0) x 4
(108.119.213.85:22484, 202.161.90.30:2693, 0) x 4
(211.15.196.13:734, 86.28.248.166:36226, 0) x 4
(141.193.239.153:38571, 64.63.78.222:26047, 0) x 4
(163.195.219.228:60886, 27.254.21.85:3067, 0) x 4
(215.189.172.23:50455, 153.177.53.57:26905, 0) x 4
(214.81.33.224:48121, 218.66.12.146:63149, 0) x 4
(155.190.12.227:43971, 111.250.23.226:61353, 0) x 4
(63.86.199.10:52422, 112.180.34.55:64565, 0) x 4
(61.221.145.186:22129, 117.175.232.87:36335, 0) x 4
(192.18.213.42:9970, 110.54.186.92:28400, 0) x 4
(120.106.240.37:11976, 249.102.41.217:40217, 0) x 4
(32.23.222.76:64434, 84.151.232.78:37864, 0) x 4
(143.198.91.91:3304, 36.128.5.42:10017, 0) x 4
(135.182.37.33:19932, 38.52.225.46:5098, 0) x 4
(91.234.243.235:48562, 58.44.20.203:24615, 0) x 4
(148.158.206.241:32834, 48.174.216.159:25674, 0) x 4
(62.37.3.91:62207, 40.171.152.183:41382, 0) x 4
(24.115.129.235:8326, 179.140.94.175:61952, 0) x 4
(106.19.141.40:33139, 1.161.188.214:36336, 0) x 4
(187.16.224.83:8768, 47.8.193.221:15997, 0) x 4
(87.116.60.221:51896, 198.74.101.46:6341, 0) x 4
(200.134.127.145:16728, 219.132.88.38:10943, 0) x 4
(65.60.250.96:5237, 162.145.43.245:57170, 0) x 4
(170.120.201.74:22343, 23.115.223.114:47208, 0) x 4
(236.32.93.142:42651, 124.172.3.45:65352, 0) x 4
(33.254.48.204:43757, 4.175.39.123:49780, 0) x 4
(254.103.121.177:3326, 20.7.91.125:52636, 0) x 4
(163.85.147.117:7606, 59.166.178.19:7940, 0) x 4
(215.12.53.130:5410, 55.231.118.58:30906, 0) x 4
(195.200.106.88:48061, 166.173.9.9:25421, 0) x 4
(21.114.207.70:48583, 10.249.107.104:8341, 0) x 4
(71.55.135.215:30281, 142.209.82.13:58534, 0) x 4
(117.162.79.225:18395, 108.229.237.165:44078, 0) x 4
(95.16.49.59:24169, 169.162.100.68:35623, 0) x 4
(251.39.143.149:27848, 142.116.249.72:24905, 0) x 4
(104.101.200.229:59540, 158.15.161.208:18934, 0) x 4
(120.201.112.111:22047, 16.220.162.140:60361, 0) x 4
(39.46.6.95:59107, 61.218.56.36:59994, 0) x 4
(157.36.19.38:22469, 60.17.13.193:49044, 0) x 4
(130.180.84.163:61528, 241.196.10.47:10037, 0) x 4
(145.105.75.47:23346, 62.133.224.228:48984, 0) x 4
(73.241.233.114:27863, 90.184.65.133:35753, 0) x 4
(59.228.34.165:63818, 42.95.202.152:32410, 0) x 4
(106.141.3.210:14734, 64.3.76.13:19113, 0) x 4
(180.107.69.51:345, 202.6.108.33:59576, 0) x 4
(29.27.162.88:29129, 93.221.195.183:28231, 0) x 4
(2.38.98.20:36405, 177.247.95.125:17136, 0) x 4
(31.105.136.41:23143, 212.150.38.155:1057, 0) x 4
(24.161.10.117:31158, 88.205.3.206:7229, 0) x 4
(226.227.133.243:5411, 208.155.31.69:579, 0) x 4
(197.223.178.58:61300, 185.5.48.117:46816, 0) x 4
(233.208.215.200:47031, 209.59.94.66:60511, 0) x 4
(14.50.144.190:12437, 180.196.207.81:36952, 0) x 4
(192.72.174.0:36111, 254.161.74.63:9903, 0) x 4
(126.73.95.50:37664, 78.127.123.169:8175, 0) x 4
(78.169.70.207:20602, 44.88.64.51:16924, 0) x 4
(42.93.134.102:21709, 83.6.25.45:9781, 0) x 4
(33.241.115.158:33041, 247.1.221.203:13298, 0) x 4
(201.188.169.178:21763, 57.10.1.128:24210, 0) x 4
(7.30.35.64:18587, 255.176.145.94:27908, 0) x 4
(17.134.193.248:58202, 206.215.221.96:55824, 0) x 4
(12.170.182.78:9553, 23.197.207.216:21814, 0) x 4
(123.103.96.89:49333, 188.61.252.216:28009, 0) x 4
(178.217.119.118:33288, 16.191.11.254:48852, 0) x 4
(204.193.161.228:56461, 151.17.169.80:19905, 0) x 4
(201.229.139.118:21368, 198.222.141.254:56613, 0) x 4
(111.18.249.49:18058, 107.197.253.156:38443, 0) x 4
(21.103.77.148:36200, 122.51.227.69:18419, 0) x 4
(241.154.78.91:20443, 17.186.250.138:44227, 0) x 4
(88.217.216.238:46452, 96.141.73.180:1093, 0) x 4
(218.209.228.24:65123, 81.94.95.249:34351, 0) x 4
(62.131.166.136:12802, 238.159.252.241:59093, 0) x 4
(115.250.126.175:3929, 207.117.94.104:6913, 0) x 4
(121.151.77.128:47692, 3.191.206.183:10593, 0) x 4
(36.10.230.9:2534, 212.5.38.42:17193, 0) x 4
(227.180.32.237:9030, 86.20.120.169:41274, 0) x 4
(158.251.69.171:29522, 65.238.25.77:33540, 0) x 4
(171.150.203.57:60846, 101.214.44.144:52211, 0) x 4
(173.8.94.98:61428, 80.139.147.216:5615, 0) x 3
(77.96.56.135:35012, 246.134.114.140:55889, 0) x 3
(64.43.129.75:25597, 192.67.30.142:25587, 0) x 3
(115.40.189.87:51218, 166.10.243.82:9781, 0) x 3
(185.182.91.155:57072, 73.141.82.68:28861, 0) x 3
(214.164.199.180:48992, 67.119.236.110:10754, 0) x 3
(23.242.30.75:9277, 85.186.14.226:913, 0) x 3
(16.109.230.119:55408, 199.117.152.141:8864, 0) x 3
(243.73.160.71:52764, 58.17.74.206:45106, 0) x 3
(230.103.76.49:11091, 181.172.230.84:22553, 0) x 3
(166.174.140.218:34802, 98.151.141.244:24036, 0) x 3
(14.141.84.178:12021, 255.183.248.56:61760, 0) x 3
(92.200.11.48:27334, 181.136.14.234:44359, 0) x 3
(130.59.8.73:47055, 32.222.51.253:1164, 0) x 3
(22.120.143.43:270, 131.221.72.242:43449, 0) x 3
(120.124.165.121:50490, 208.74.44.232:51681, 0) x 3
(148.42.139.243:51362, 8.94.90.86:55464, 0) x 3
(182.98.163.118:33151, 233.178.30.30:538, 0) x 3
(139.131.236.16:55596, 193.13.22.12:44406, 0) x 3
(40.246.54.12:46114, 31.146.222.198:7005, 0) x 3
(162.52.98.126:61137, 2.187.49.232:38331, 0) x 3
(207.25.185.105:54491, 159.20.6.171:2484, 0) x 3
(218.153.205.125:14465, 18.183.135.188:23147, 0) x 3
(157.159.20.200:36127, 208.78.108.199:18761, 0) x 3
(10.171.39.149:60802, 154.13.5.92:11944, 0) x 3
(25.173.210.48:49684, 67.64.78.125:43016, 0) x 3
(177.217.78.212:43201, 243.16.96.167:27947, 0) x 3
(74.160.96.111:33190, 135.26.243.81:26877, 0) x 3
(166.236.217.83:41881, 203.161.76.214:29989, 0) x 3
(207.116.248.3:49005, 223.172.178.66:27440, 0) x 3
(95.103.94.39:60658, 210.196.223.239:16374, 0) x 3
